"date","site","habitat","common_name","count"
"26-5-1999","A","pool","Creek Chub",0
"26-5-1999","A","pool","Fathead Minnow",1
"26-5-1999","A","pool","Green Sunfish",0
"26-5-1999","A","pool","Johnny Darter",0
"26-5-1999","A","pool","Longear Sunfish",0
"26-5-1999","A","pool","Orangespotted Sunfish",0
"26-5-1999","A","pool","Orangethroated Darter",20
"26-5-1999","A","pool","Red Shiner",0
"26-5-1999","A","pool","Ringed Crayfish",0
"26-5-1999","A","pool","Sand Shiner",0
"26-5-1999","A","pool","Slender Madtom",0
"26-5-1999","A","pool","Southern Redbelly Dace",68
"26-5-1999","A","pool","Suckermouth Minnows",0
"26-5-1999","A","pool","Water Nymph Crayfish",0
"26-5-1999","A","pool","Western Mosquitofish",0
"26-5-1999","A","pool","White Sucker",0
"26-5-1999","A","riffle","Bluegill",0
"26-5-1999","A","riffle","Bluntnose Minnow",0
"26-5-1999","A","riffle","Carmine Shiner",0
"26-5-1999","A","riffle","Central Stoneroller",35
"26-5-1999","A","riffle","Common Shiner",0
"26-5-1999","A","riffle","Creek Chub",0
"26-5-1999","A","riffle","Fathead Minnow",0
"26-5-1999","A","riffle","Green Sunfish",0
"26-5-1999","A","riffle","Johnny Darter",0
"26-5-1999","A","riffle","Longear Sunfish",0
"26-5-1999","A","riffle","Orangespotted Sunfish",0
"26-5-1999","A","riffle","Orangethroated Darter",20
"26-5-1999","A","riffle","Red Shiner",0
"26-5-1999","A","riffle","Ringed Crayfish",0
"26-5-1999","A","riffle","Sand Shiner",0
"26-5-1999","A","riffle","Slender Madtom",0
"26-5-1999","A","riffle","Southern Redbelly Dace",67
"26-5-1999","A","riffle","Suckermouth Minnows",0
"26-5-1999","A","riffle","Water Nymph Crayfish",0
"26-5-1999","A","riffle","Western Mosquitofish",0
"26-5-1999","A","riffle","White Sucker",0
"11-8-1999","A","pool","Bluegill",0
"11-8-1999","A","pool","Bluntnose Minnow",0
"11-8-1999","A","pool","Carmine Shiner",0
"11-8-1999","A","pool","Central Stoneroller",37
"11-8-1999","A","pool","Common Shiner",0
"11-8-1999","A","pool","Creek Chub",23
"11-8-1999","A","pool","Fathead Minnow",0
"11-8-1999","A","pool","Green Sunfish",2
"11-8-1999","A","pool","Johnny Darter",0
"11-8-1999","A","pool","Longear Sunfish",0
"11-8-1999","A","pool","Orangespotted Sunfish",0
"11-8-1999","A","pool","Orangethroated Darter",1
"11-8-1999","A","pool","Red Shiner",0
"11-8-1999","A","pool","Ringed Crayfish",0
"11-8-1999","A","pool","Sand Shiner",0
"11-8-1999","A","pool","Slender Madtom",0
"11-8-1999","A","pool","Southern Redbelly Dace",12
"11-8-1999","A","pool","Suckermouth Minnows",0
"11-8-1999","A","pool","Water Nymph Crayfish",0
"11-8-1999","A","pool","Western Mosquitofish",0
"11-8-1999","A","pool","White Sucker",10
"11-8-1999","A","riffle","Bluegill",0
"11-8-1999","A","riffle","Bluntnose Minnow",0
"11-8-1999","A","riffle","Carmine Shiner",0
"11-8-1999","A","riffle","Central Stoneroller",0
"11-8-1999","A","riffle","Common Shiner",0
"11-8-1999","A","riffle","Creek Chub",0
"11-8-1999","A","riffle","Fathead Minnow",0
"11-8-1999","A","riffle","Green Sunfish",0
"11-8-1999","A","riffle","Johnny Darter",0
"11-8-1999","A","riffle","Longear Sunfish",0
"11-8-1999","A","riffle","Orangespotted Sunfish",0
"11-8-1999","A","riffle","Orangethroated Darter",18
"11-8-1999","A","riffle","Red Shiner",0
"11-8-1999","A","riffle","Ringed Crayfish",0
"11-8-1999","A","riffle","Sand Shiner",0
"11-8-1999","A","riffle","Slender Madtom",0
"11-8-1999","A","riffle","Southern Redbelly Dace",0
"11-8-1999","A","riffle","Suckermouth Minnows",0
"11-8-1999","A","riffle","Water Nymph Crayfish",0
"11-8-1999","A","riffle","Western Mosquitofish",0
"11-8-1999","A","riffle","White Sucker",0
"12-8-1999","D","pool","Bluegill",0
"12-8-1999","D","pool","Bluntnose Minnow",0
"12-8-1999","D","pool","Carmine Shiner",0
"12-8-1999","D","pool","Central Stoneroller",247
"12-8-1999","D","pool","Common Shiner",0
"12-8-1999","D","pool","Creek Chub",55
"12-8-1999","D","pool","Fathead Minnow",0
"12-8-1999","D","pool","Green Sunfish",0
"12-8-1999","D","pool","Johnny Darter",0
"12-8-1999","D","pool","Longear Sunfish",0
"12-8-1999","D","pool","Orangespotted Sunfish",0
"12-8-1999","D","pool","Orangethroated Darter",1
"12-8-1999","D","pool","Red Shiner",0
"12-8-1999","D","pool","Ringed Crayfish",0
"12-8-1999","D","pool","Sand Shiner",0
"12-8-1999","D","pool","Slender Madtom",0
"12-8-1999","D","pool","Southern Redbelly Dace",0
"12-8-1999","D","pool","Suckermouth Minnows",0
"12-8-1999","D","pool","Water Nymph Crayfish",0
"12-8-1999","D","pool","Western Mosquitofish",0
"12-8-1999","D","pool","White Sucker",0
"13-8-1999","C","pool","Bluegill",0
"13-8-1999","C","pool","Bluntnose Minnow",0
"13-8-1999","C","pool","Carmine Shiner",0
"13-8-1999","C","pool","Central Stoneroller",19
"13-8-1999","C","pool","Common Shiner",0
"13-8-1999","C","pool","Creek Chub",0
"13-8-1999","C","pool","Fathead Minnow",0
"13-8-1999","C","pool","Green Sunfish",0
"13-8-1999","C","pool","Johnny Darter",0
"13-8-1999","C","pool","Longear Sunfish",0
"13-8-1999","C","pool","Orangespotted Sunfish",0
"13-8-1999","C","pool","Orangethroated Darter",1
"13-8-1999","C","pool","Red Shiner",0
"13-8-1999","C","pool","Ringed Crayfish",0
"13-8-1999","C","pool","Sand Shiner",0
"13-8-1999","C","pool","Slender Madtom",0
"13-8-1999","C","pool","Southern Redbelly Dace",54
"13-8-1999","C","pool","Suckermouth Minnows",0
"13-8-1999","C","pool","Water Nymph Crayfish",0
"13-8-1999","C","pool","Western Mosquitofish",0
"13-8-1999","C","pool","White Sucker",0
"6-11-1999","A","pool","Bluegill",0
"6-11-1999","A","pool","Bluntnose Minnow",1
"6-11-1999","A","pool","Carmine Shiner",0
"6-11-1999","A","pool","Central Stoneroller",238
"6-11-1999","A","pool","Common Shiner",2
